,ent_name,corpus_url,sent
0,0x Protocol,https://www.investopedia.com/terms/1/0x-protocol.asp,The 0x (zero x) protocol is a protocol that enables the peer-to-peer exchange of assets on the Ethereum blockchain.
1,1%/10 Net 30,https://www.investopedia.com/terms/1/1-10net30.asp,The 1%/10 net 30 calculation is a way of providing cash discounts on purchases.
2,10-K,https://www.investopedia.com/terms/1/10-k.asp,A 10-K is a comprehensive report filed annually by a publicly-traded company about its financial performance and is required by the U.
3,10-K Wrap,https://www.investopedia.com/terms/1/10k-wrap.asp,"A 10-K wrap is a summary report of a company's annual performance that bundles the 10-K report required by the Securities and Exchange Commission (SEC) with additional commentary from the company, covering such things as the corporate vision, letter to shareholders, and business overview, among other topics."
4,SEC Form 10-Q Definition,https://www.investopedia.com/terms/1/10q.asp,SEC Form 10-Q is a comprehensive report of financial performance that must be submitted quarterly by all public companies to the Securities and Exchange Commission (SEC).
5,10-Year Treasury Note,https://www.investopedia.com/terms/1/10-yeartreasury.asp,The 10-year Treasury note is a debt obligation issued by the United States government with a maturity of 10 years upon initial issuance.
6,100% Equities Strategy,https://www.investopedia.com/terms/1/100-equities-strategy.asp,"A 100% equities strategy is a strategy commonly adopted by pooled funds, such as a mutual fund, that allocates all investable cash solely to stocks."
7,Form 1040: U.S. Individual Tax Return,https://www.investopedia.com/terms/1/1040.asp,Form 1040 is the standard Internal Revenue Service (IRS) form that individual taxpayers use to file their annual income tax returns.
8,Form 1040-A: U.S. Individual Tax Return Definition,https://www.investopedia.com/terms/1/1040a.asp,Form 1040-A of the Internal Revenue Service (IRS) was a simplified version of Form 1040 used by U.
9,Form 1040EZ: Income Tax Return for Single and Joint Filers with No Dependents,https://www.investopedia.com/terms/1/1040ez.asp,IRS Form 1040EZ: Income Tax Return for Single and Joint Filers with No Dependents was the shortened version of the Internal Revenue Service (IRS) Form 1040.
10,SEC Release IA-1092,https://www.investopedia.com/terms/1/1092.asp,SEC Release IA-1092 is a release from the Securities & Exchange Commission (SEC) that provides uniform interpretations of how state and federal adviser laws apply to those that provide financial services.
11,11th District Cost of Funds Index (COFI),https://www.investopedia.com/terms/1/cofi.asp,"The 11th District Cost of Funds Index (COFI) is a monthly weighted average of the interest rates paid on checking and savings accounts offered by financial institutions operating in Arizona, California, and Nevada."
12,125% Loan,https://www.investopedia.com/terms/1/125_loan.asp,A 125% loan—typically a mortgage used to refinance a home—allows a homeowner to borrow an amount equal to 125% of their property’s appraised value.
13,12B-1 Fee,https://www.investopedia.com/terms/1/12b-1fees.asp,A 12b-1 fee is an annual marketing or distribution fee on a mutual fund.
14,12b-1 Fund,https://www.investopedia.com/terms/1/12b-1-fund.asp,A 12b-1 fund is a mutual fund that charges its holders a 12b-1 fee.
15,12B-1 Plan,https://www.investopedia.com/terms/1/12b-1plan.asp,A 12B-1 plan is a plan structured by mutual fund companies for the distribution of funds through intermediaries.
16,130-30 Strategy,https://www.investopedia.com/terms/1/130-30_strategy.asp,"The 130-30 strategy, often called a long/short equity strategy, refers to an investing methodology used by institutional investors."
17,18-Hour City,https://www.investopedia.com/terms/1/18hour-city.asp,"Economists and real estate investors use the term 18-hour city to describe a mid-size city with attractive amenities, higher-than-average population growth, and a lower cost of living and cost of doing business than the biggest urban areas."
18,What Is the 183-Day Rule?,https://www.investopedia.com/terms/1/183-day-rule.asp,The 183-day rule is used by most countries to determine if someone should be considered a resident for tax purposes.
19,1979 Energy Crisis,https://www.investopedia.com/terms/1/1979-energy-crisis.asp,"The 1979 energy crisis, the second of two oil price shocks in the '70s, resulted in a widespread panic about potential gasoline shortages, and far higher prices for both crude oil and refined products."
20,2-1 Buydown,https://www.investopedia.com/terms/1/2-1_buydown.asp,"The 1979 energy crisis, the second of two oil price shocks in the '70s, resulted in a widespread panic about potential gasoline shortages, and far higher prices for both crude oil and refined products."
21,2/28 Adjustable-Rate Mortgage (2/28 ARM),https://www.investopedia.com/terms/2/228arm.asp,A 2/28 adjustable-rate mortgage (2/28 ARM) is a type of 30-year home loan that has an initial two-year fixed interest rate period.
22,2000 Investor Limit,https://www.investopedia.com/terms/1/2000-investor-limit.asp,"The 2,000 Investor Limit is a stipulation required by the Securities & Exchange Commission (SEC) that mandates a company that exceeds 2,000 individual investors, and with more than $10 million in combined assets, must file its financials with the commission."
23,2011 U.S. Debt Ceiling Crisis,https://www.investopedia.com/terms/1/2011-debt-ceiling-crisis.asp,The 2011 U.
24,25% Rule,https://www.investopedia.com/terms/1/25-percent-rule.asp,"There are two common usages of the term ""25% rule"":."
25,3-2-1 Buy-Down Mortgage,https://www.investopedia.com/terms/1/3-2-1_buydown.asp,"There are two common usages of the term ""25% rule"":."
26,3-6-3 Rule,https://www.investopedia.com/terms/1/3_6_3_rule.asp,"The 3-6-3 rule is a slang term that refers to an unofficial practice in the banking industry in the 1950s, 1960s, and 1970s that was the result of non-competitive and simplistic conditions in the industry."
27,3/27 Adjustable-Rate Mortgage (ARM),https://www.investopedia.com/terms/1/327arm.asp,"The 3-6-3 rule is a slang term that refers to an unofficial practice in the banking industry in the 1950s, 1960s, and 1970s that was the result of non-competitive and simplistic conditions in the industry."
28,3C1,https://www.investopedia.com/terms/1/3c1.asp,"The 3-6-3 rule is a slang term that refers to an unofficial practice in the banking industry in the 1950s, 1960s, and 1970s that was the result of non-competitive and simplistic conditions in the industry."
29,3(c)(7) Exemption,https://www.investopedia.com/terms/1/3c7.asp,"The 3(c)(7) exemption refers to a portion of the Investment Company Act of 1940 that allows private investment companies an exemption from some Securities and Exchange Commission (SEC) regulation, providing that they meet certain criteria."
30,3D Printing,https://www.investopedia.com/terms/1/3d-printing.asp,Three-dimensional (3D) printing is an additive manufacturing process that creates a physical object from a digital design.
31,3P Oil Reserves,https://www.investopedia.com/terms/1/3p.asp,"3P oil reserves are the total amount of reserves that a company estimates having access to, calculated as the sum of all proven and unproven reserves."
32,30-Year Treasury,https://www.investopedia.com/terms/1/30-yeartreasury.asp,The 30-Year Treasury is a U.
33,341 Meeting,https://www.investopedia.com/terms/1/341-meeting.asp,The term “341 meeting” refers to a meeting between creditors and debtors that is required to take place during the course of a Chapter 7 bankruptcy proceeding.
34,401(a) Plan,https://www.investopedia.com/terms/1/401a-plan.asp,"A 401(a) plan is an employer-sponsored money-purchase retirement plan that allows dollar or percentage-based contributions from the employer, the employee, or both."
35,401(k) Plans,https://www.investopedia.com/terms/1/401kplan.asp,A 401(k) plan is a retirement savings plan offered by many American employers that has tax advantages for the saver.
36,403(b) Plan,https://www.investopedia.com/terms/1/403bplan.asp,The term 403(b) plan refers to a retirement account designed for certain employees of public schools and other tax-exempt organizations.
37,408(k) Plan,https://www.investopedia.com/terms/1/408-k-plan.asp,The term 408(k) account refers to an employer-sponsored retirement savings plan.
38,412(i) Plan,https://www.investopedia.com/terms/1/412i.asp,A 412(i) plan was a defined-benefit pension plan that was designed for small business owners in the U.
39,457 Plan,https://www.investopedia.com/terms/1/457plan.asp,"Generally speaking, 457 plans are non-qualified, tax-advantaged, deferred compensation retirement plans offered by state governments, local governments, and some nonprofit employers."
40,48-Hour Rule,https://www.investopedia.com/terms/1/48-hour-rule.asp,The 48-hour rule is a requirement that sellers of to-be-announced (TBA) mortgage-backed securities (MBS) communicate all pool information regarding the MBS to buyers before 3 p.
41,5/1 Hybrid Adjustable-Rate Mortgage (5/1 Hybrid ARM),https://www.investopedia.com/terms/1/5-1_arm.asp,"A 5/1 hybrid adjustable-rate mortgage (5/1 ARM) begins with an initial five-year fixed interest rate period, followed by a rate that adjusts on an annual basis."
42,5/6 Hybrid Adjustable-Rate Mortgage (5/6 Hybrid ARM),https://www.investopedia.com/terms/1/5-6_hybrid_arm.asp,"A 5/1 hybrid adjustable-rate mortgage (5/1 ARM) begins with an initial five-year fixed interest rate period, followed by a rate that adjusts on an annual basis."
43,500 Shareholder Threshold,https://www.investopedia.com/terms/5/500-shareholder-threshold.asp,The 500 shareholder threshold for investors is an outdated rule required by the Securities and Exchange Commission (SEC) that triggered public reporting requirements of a company when it reached that many or more distinct shareholders.
44,501(c)(3) Organization,https://www.investopedia.com/terms/1/501c3-organizations.asp,Section 501(c)(3) is a portion of the U.
45,501(c),https://www.investopedia.com/terms/1/501c.asp,The 501(c) is a subsection under the United States Internal Revenue Code (IRC).
46,51% Attack,https://www.investopedia.com/terms/1/51-attack.asp,A 51% attack is an attack on a cryptocurrency blockchain by a group of miners who control more than 50% of the network's mining hash rate.
47,52-Week High/Low,https://www.investopedia.com/terms/1/52weekhighlow.asp,"The 52-week high/low is the highest and lowest price at which a security, such as a stock, has traded during the time period that equates to one year."
48,52-Week Range,https://www.investopedia.com/terms/1/52-week-range.asp,"The 52-week range is a data point traditionally reported by printed financial news media, but more modernly included in data feeds from financial information sources online."
49,529 Plans,https://www.investopedia.com/terms/1/529plan.asp,A 529 plan is a tax-advantaged savings plan designed to help pay for education.
50,60-Plus Delinquencies,https://www.investopedia.com/terms/1/60-plus-delinquencies.asp,The 60-plus delinquency rate is a metric that is typically used for the housing industry to measure the number of mortgage loans that are more than 60 days past due on their monthly payments.
51,8-K (Form 8K),https://www.investopedia.com/terms/1/8-k.asp,An 8-K is a report of unscheduled material events or corporate changes at a company that could be of importance to the shareholders or the Securities and Exchange Commission (SEC).
52,80-10-10 Mortgage,https://www.investopedia.com/terms/8/80_10_10_mortgage.asp,An 80-10-10 mortgage is a loan where first and second mortgages are obtained simultaneously.
53,80-20 Rule,https://www.investopedia.com/terms/1/80-20-rule.asp,"The 80-20 rule, also known as the Pareto Principle, is a familiar saying that asserts that 80% of outcomes (or outputs) result from 20% of all causes (or inputs) for any given event."
54,83(b) Election,https://www.investopedia.com/terms/1/83b-election.asp,"The 83(b) election is a provision under the Internal Revenue Code (IRC) that gives an employee, or startup founder, the option to pay taxes on the total fair market value of restricted stock at the time of granting."
55,8(a) Firm,https://www.investopedia.com/terms/1/8a-firm.asp,An 8(a) firm is a small business that is owned and operated by socially and economically disadvantaged citizens and that has been accepted into the 8(a) Business Development Program.
56,90-Day Letter,https://www.investopedia.com/terms/1/90dayletter.asp,90-Day Letter is an IRS notice stating that there was a discrepancy or error within an individual's taxes and they will be assessed unless petitioned.
57,90/10 Strategy,https://www.investopedia.com/terms/1/90-10-strategy.asp,"Legendary investor Warren Buffett invented the “90/10"" investing strategy for the investment of retirement savings."
58,A-B Trust,https://www.investopedia.com/terms/a/a-b-trust.asp,An A-B trust is a joint trust created by a married couple for the purpose of minimizing estate taxes.
59,China A-Shares Definition,https://www.investopedia.com/terms/a/a-shares.asp,"China A-shares are the stock shares of mainland China-based companies that trade on the two Chinese stock exchanges, the Shanghai Stock Exchange (SSE) and the Shenzhen Stock Exchange (SZSE)."
60,AAA,https://www.investopedia.com/terms/a/aaa.asp,AAA is the highest possible rating that may be assigned to an issuer's bonds by any of the major credit rating agencies.
61,AARP,https://www.investopedia.com/terms/a/aarp.asp,"The American Association of Retired Persons, commonly known by its acronym AARP, is America's leading organization for people aged fifty and older, providing member benefits, marketing services, and lobbying on their behalf."
62,Abenomics,https://www.investopedia.com/terms/a/abenomics.asp,Abenomics is the nickname for the economic policies set out for Japan in 2012 when prime minister Shinzo Abe came into power for a second time.
63,Ability-To-Pay Taxation,https://www.investopedia.com/terms/a/ability-to-pay-taxation.asp,The ability-to-pay philosophy of taxation maintains that taxes should be levied according to a taxpayer's ability to pay.
64,Abnormal Return,https://www.investopedia.com/terms/a/abnormalreturn.asp,An abnormal return describes the unusually large profits or losses generated by a given investment or portfolio over a specified period.
65,Absolute Advantage,https://www.investopedia.com/terms/a/absoluteadvantage.asp,"Absolute advantage is the ability of an individual, company, region, or country to produce a greater quantity of a good or service with the same quantity of inputs per unit of time, or to produce the same quantity of a good or service per unit of time using a lesser quantity of inputs, than its competitors."
66,Absolute Return,https://www.investopedia.com/terms/a/absolutereturn.asp,Absolute return is the return that an asset achieves over a specified period.
67,Absorption Costing,https://www.investopedia.com/terms/a/absorptioncosting.asp,"Absorption costing, sometimes called “full costing,” is a managerial accounting method for capturing all costs associated with manufacturing a particular product."
68,Absorption Rate,https://www.investopedia.com/terms/a/absorption-rate.asp,Absorption rate most commonly refers to a metric used in the real estate market to evaluate the rate at which available homes are sold in a specific market during a given time period.
69,Accelerated Depreciation,https://www.investopedia.com/terms/a/accelerateddepreciation.asp,Accelerated depreciation is any method of depreciation used for accounting or income tax purposes that allows greater depreciation expenses in the early years of the life of an asset.
70,Acceleration Clause,https://www.investopedia.com/terms/a/acceleration-clause.asp,An acceleration clause is a contract provision that allows a lender to require a borrower to repay all of an outstanding loan if certain requirements are not met.
71,Acceptable Quality Level (AQL),https://www.investopedia.com/terms/a/acceptable-quality-level-aql.asp,The acceptable quality level (AQL) is a measure applied to products and defined in ISO 2859-1 as the “quality level that is the worst tolerable.
72,Accepting Risk,https://www.investopedia.com/terms/a/accepting-risk.asp,"Accepting risk, or risk acceptance, occurs when a business or individual acknowledges that the potential loss from a risk is not great enough to warrant spending money to avoid it."
73,Accidental Death and Dismemberment (AD&D) Insurance,https://www.investopedia.com/terms/a/accidental-death-dismemberment-insurance.asp,Accidental death and dismemberment (AD&D) insurance is insurance—usually added as a rider to a health insurance or life insurance policy—that covers the unintentional death or dismemberment of the insured.
74,Accidental Death Benefit,https://www.investopedia.com/terms/a/accidental-death-benefit.asp,"The term accidental death benefit refers to a payment due to the beneficiary of an accidental death insurance policy, which is often a clause or rider connected to a life insurance policy."
75,Account Balance,https://www.investopedia.com/terms/a/accountbalance.asp,"An account balance is the amount of money present in a financial repository, such as a savings or checking account, at any given moment."
76,Account in Trust,https://www.investopedia.com/terms/a/account-in-trust.asp,An account in trust or trust account refers to any type of financial account that is opened by an individual and managed by a designated trustee for the benefit of a third party per agreed-upon terms.
77,Account Number,https://www.investopedia.com/terms/a/account-number.asp,"An account number is a unique string of numbers and, sometimes, letters and other characters that identifies the owner of an account and grants access to it."
78,Account Statement,https://www.investopedia.com/terms/a/account-statement.asp,An account statement is a periodic summary of account activity with a beginning date and an ending date.
79,Accountability,https://www.investopedia.com/terms/a/accountability.asp,Accountability is an acceptance of responsibility for honest and ethical conduct towards others.
80,Accountant,https://www.investopedia.com/terms/a/accountant.asp,"The term accountant refers to a professional who performs accounting functions such as account analysis, auditing, or financial statement analysis."
81,Accountant Responsibility,https://www.investopedia.com/terms/a/accountant-responsibility.asp,Accountant responsibility is the ethical responsibility an accountant has to those who rely on their work.
82,Accounting,https://www.investopedia.com/terms/a/accounting.asp,Accounting is the process of recording financial transactions pertaining to a business.
83,Accounting Conservatism,https://www.investopedia.com/terms/a/accounting-conservatism.asp,Accounting conservatism is a set of bookkeeping guidelines that call for a high degree of verification before a company can make a legal claim to any profit.
84,Accounting Cycle,https://www.investopedia.com/terms/a/accounting-cycle.asp,"The accounting cycle is a collective process of identifying, analyzing, and recording the accounting events of a company."
